numero_passage,sortie,sortie_choix_libre,sortie_passage_ignore,nombre_de_cases,nombre_de_coches_requises,action,duree,environnement,illustration,carte,description_fin,combat,blessure,objet_acquis,objet_perdu,objet_requis,type_de_stockage,competence_requise,test_aleatoire,code_acquis,code_perdu,code_requis,etat_du_monde_acquis,etat_du_monde_requis,divinite_acquise,divinite_perdue,divinite_requise,resurrection_acquise,resurrection_perdue,benediction_acquise,benediction_perdue,niveau_equipage_modifie,titre_et_honneur_acquis,titre_et_honneur_perdu,sortie_objet_acquis,sortie_objet_perdu,sortie_objet_requis,sortie_test_competence,sortie_test_aleatoire,sortie_code_acquis,sortie_code_requis,sortie_etat_du_monde_acquis,sortie_etat_du_monde_requis,sortie_condition_requise,sortie_classe_requise,sortie_divinite_acquise,sortie_divinite_requise,sortie_benediction_perdue,sortie_benediction_requise,sortie_titre_et_honneur_requis,sortie_niveau_equipage_modifie,sortie_niveau_equipage_requis,sortie_nombre_de_coches_requises,sortie_autre_livre,doute,commentaire
155,136,2,,,,"embarquer, dialoguer",,navire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,100,0,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,10,0,,,,"se faire frapper, perdre conscience, se faire voler",,rue,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,147,1,,,,,,taverne,,,,,,,charde (selon achats),charde (selon achats),,,,,,,,,,,,,,,,,,,,charde (3),charde (3),,,,,,,,,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,10,0,,,,"rêver, se faire envoûter",semaine (plusieurs),"mer, sous l'eau, port",,,,,,,objet (tout),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,461,0,1,1,,"réciter, dialoguer, explorer, inspecter",,tombeau,"""Au centre de la large salle circulaire repose un sarcophage entouré d'un pentacle tracé avec du sang.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
,309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
161,454,0,,,,"observer, se faire capturer",,,,,,,,,"charde (tout), objet (tout)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,509,0,,,,dérober,,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
,228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
163,100,0,,,,"dialoguer, manipuler, se faire démasquer",,rue,,,,,,,tête de capitaine pirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,247,0,,,,explorer,,"tunnel, caverne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adresse, Exploration",,,,,,,,,,,,,,,,,,
,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adresse, Exploration",,,,,,,,,,,,,,,,,,
165,552,2,,,,"naviguer, dialoguer, se faire aborder",,mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,100,2,,,,voyager,,"route, bidonville",,,,,,lanterne,charde (10),,,,1d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,474,0,,,,fuir,,"montagne, bidonville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,395,0,,,,"tomber, fuir",,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total inférieur ou égal au Niveau du personnage,,,,,,,,,,,,
,551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total supérieur au Niveau du personnage,,,,,,,,,,,,
169,443,0,1,1,,"naviguer, dialoguer, observer",,mer,"Trois image. La première semble montrer un combat naval entre un gallion et un navire non identifiable, ainsi qu'une barque faisant naufrage. La deuxième montre trois navire au loin. La troisième montre un groupe de personnes en armure s'apprêtant à aborder un navire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,286,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,394,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,615,0,,,,rejoindre un culte,,,,,,,,,charde (60),charde (60),,,,,,,,,Lacuna,,aucune autre divinité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,671,0,,,,"combattre, inspecter, dialoguer",,plaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,100,0,,,,dialoguer,,,,,,,,flacon de poudre jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,510,0,,,,voyager,,"côte, village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,x,0,,,,combattre,,caverne,,,combat fatal contre un gorlock,gorlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,673,0,1,1,,"explorer, observer",journée (1),lande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"""journée"" au lieu de ""jour"" n'est pas une erreur. Le passage indique que l'action dure jsuqu'à la tombée de la nuit, et non 24 heures."
,390,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,32,2,,,,"naviguer, débarquer, explorer, dialoguer",,baie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navire à quai à Port-Jaune,,,,,,,,,,,,,
,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,400,0,,,,"se reposer, stocker",,maison,,,,,,,stockage (tout ce qui était stocké ici),,"maison (charde, objet)",,2d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,635,0,,,,"observer, réagir par réflèxe",,rue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
,198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
179,474,0,,,,"dialoguer, manipuler, fuir",,montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,100,0,,,,"se faire téléporter, observer, dialoguer",,cité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,195,0,,,,se reposer,nuit (selon achats),taverne,,,,,,,charde (1 par nuit),charde (1 par nuit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,x,0,,,,"faire naufrage, se noyer",,mer,,,noyade,,,,"charde (tout), objet (tout), barque, brigantin, galion, cargaison (tout)",,,,1d6,,,,,,,,,,,,,,,,,,,,2d6,,,,,total supérieur au Niveau du personnage,,,,,,,,,,,,
,591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,total inférieur ou égal au Niveau du personnage,,,,,,,,,,,,
183,308,0,,,,"fuir, se cacher, se faire repérer",,tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,451,1,,,,se reposer,nuit (selon achats),taverne,,,,,,,charde (1 par nuit),charde (1 par nuit),,,,,,,,,,,,,,,,,,,,,bouclier au dragon noir,,,,Arme,,,,,,,,,,,,,,,
,341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (3),,,,,,,,,,,,,,,,,,,
,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,439,0,,,,"tromper, dialoguer, manipuler, naviguer",,navire,,,,,,charde (60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,400,0,,,,vendre comme esclave,,,,,,,,charde (75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,100,0,,,,"observer, abjurer, dialoguer",,temple,,,,,,,,,,,,,,,,,,Nagil,,,toute résurrection du Temple de Nagil,,,,,Élu de Nagil,,,,,,,,,,,,,,,,,,,,,,
188,118,0,,,,"se faire emprisonner, dialoguer, se faire vendre comme esclave",,cachot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,35,2,,,,réfléchir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,592,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,38,0,,,,naviguer,,"navire, côte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
191,375,0,,,,"dialoguer, accepter une quête",,,,,,,,,,,,,,Artère,,,,,,,,,,,,,,,,,,,,,Appât,,,,,,,,,,,,,,,
,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,65,0,,,,"explorer, suivre, marcher, écouter, observer, dialoguer",,"colline, dolmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,621,0,,,,"s'échouer, voyager",,"côte, route",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,x,0,,,,"observer, commander, combattre",,,,,,ker'ilk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,544,2,,,,"observer, visiter",,village,,,,,,,,,,,,Arbre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,452,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,332,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,100,0,,,,butiner,,,,,,,,tête de goule,,,,,,,,,"""Morsure de goule""",blessure lors du combat contre la goule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,235,0,,,,se faire bénir,,,,,,,,,charde (30),,,,,,,,,,,,Sig,,,Sig,,,,,,,,,,,,,,,,,,,,,,,,,,
198,10,0,,,,"observer, commercer, dialoguer, se faire voler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,x,0,,1,,,,,,,combat fatal contre une furie nébuleuse,furie nébuleuse,,,charde (200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,634,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,658,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,30,0,,,,consulter une carte,,,,"""Forêt de l'Abandonné""",,,,carte du Goldnir (-> 200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,271,2,,,,voyager,,route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,276,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,428,2,,,,"explorer, observer, écouter",,"temple, égout, salle du trône","""Une chaise en bois de piètre qualité a été posée sur l'autel, simulacre de trône sur lequel est assis un gros homme-rat d'une laideur affligeante. Il porte une amulette d'un goût douteux au cou et un cerceau de fer rouillé lui tient lieu de couronne. Quatre homme-rats, en pleine conversation avec la créature hideuse, sont agenouillés autour d'elle.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,595,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,336,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,267,1,,,,commercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (15),charde (15),,,,,,,,,,,,,,,,,,,
,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,x,0,,,,mourir,,,,,passage à tabac par des cannibales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,493,2,,,,déchiffrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,507,0,,,,dialoguer,,navire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,137,0,1,1,,"naviguer, observer",,navire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,293,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,464,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,145,0,,,,"incanter, endormir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,249,2,,,,naviguer,,côte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,x,0,,,,"incanter, combattre",,,,,chute mortelle provoquée par les furies nébuleuses,furie nébuleuse (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,58,0,,,,attendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
212,31,0,,,,mourir,,,,,,,,,"charde (tout), objet (tout)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,602,2,,,,"tuer, butiner, nager",,sous l'eau,,,,,,,"poche d'encre (3), filet d'or, charde (45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,x,0,,,,"commander, combattre, mourir",,,,,injection d'oeufs dans le corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,400,0,,,,commercer,,marché,,,,,,"armure de cuir, broigne, cotte de maille, armure d'éclisse, armure de plates, arme, mandoline, boussole, corde, lanterne, matériel d'escalade, mort-aux-rats, peau de loup, charde (selon ventes)","armure de cuir, broigne, cotte de maille, armure d'éclisse, armure de plates, armure lourde, arme, baguette d'ambre, baguette d'ébène, baguette de cobalt, baguette de sélénium, mandoline, outils de crochetage, insigne sacré, boussole, corde, lanterne, matériel d'escalade, sac de perles, mort-aux-rats, pépite d'argent, boucels d'oreilles en platines, peau de loup, charde (selon achats), flûte en argent","armure de cuir, broigne, cotte de maille, armure d'éclisse, armure de plates, armure lourde, arme, baguette d'ambre, baguette d'ébène, baguette de cobalt, baguette de sélénium, mandoline, outils de crochetage, insigne sacré, boussole, corde, lanterne, matériel d'escalade, sac de perles, mort-aux-rats, pépite d'argent, boucels d'oreilles en platines, peau de loup, charde (selon achats), flûte en argent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,407,0,,,,fuir,,palais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total inférieur ou égal au Niveau du personnage,"Troubadour, Voleur, Voyageur",,,,,,,,,,,
,566,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total supérieur au Niveau du personnage,"Troubadour, Voleur, Voyageur",,,,,,,,,,,
217,356,0,,,,"explorer, observer",,clairière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
218,454,0,,,,se faire capturer,,,,,,,,,"charde (tout), objet (tout)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,x,0,,,,"faire naufrage, se noyer, dériver",,mer,,,noyade,,,,"barque, brigantin, galion, cargaison (tout)",,,,,,,,,,,,,,,,,plus d'équipage,,,,,,,2d6,,,,,total supérieur au Niveau du personnage,,,,,,,,,,,,
,436,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,blessure,,total inférieur ou égal au Niveau du personnage,,,,,,,,,,,,
220,531,0,,,,observer,,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancre,,,,,,,,,,,,,,,
,294,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,624,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvir et Valmir,,,,,,,,,
,448,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,411,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,57,0,,,,fuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total inférieur ou égal au Niveau du personnage,,,,,,,,,,,,
,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total supérieur au Niveau du personnage,,,,,,,,,,,,
222,124,0,,,,naviguer,,côte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,,,,,,,,,,,,,
,420,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,,,,,,,,,,,,,
,169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,,,,,,,,,,,,,
223,100,0,,,,"combattre, tuer, butiner",,,,,,,,tête de goule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,580,0,,,,fuir,,tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,510,0,,,,explorer,,caverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,15,2,,,,visiter,,rue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,619,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,632,2,,,,donner,,,,,,,,,charde (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,625,0,,,,"tomber dans un piège, butiner",,,,,,,1,cotte de mailles dorée de Tyrnai,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
229,100,0,,,,dialoguer,,,,,,,,charde (200),,charde (n'avoir aucune charde),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,x,0,,,,mourir,,,Une image montre une troupe de cavaliers. Sans rapport avec le passage.,,pendaison,,,,,,,,,,,,,avoir une résurrection,,,,,,,,,,,anneau royal (après résurrection),,anneau royal (avant résurrection),,,,,,,,,,,,,,,,,,L'anneau royal n'est pas perdu en cas de résurrection. Je l'ai indiqué comme objet requis (avant résurrection) et acquis (après résurrection).,
231,23,2,,,,observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,151,0,1,1,,"explorer, dialoguer",,caverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antienne,,,,,,,,,,,,,,,
,480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,412,0,1,1,,"observer, dialoguer",,route,"""La silouhette solitaire exécute quelques mouvements rapides invisibles à l'oeil nu, son épée étincelant au soleil. Les malfrats tombent alors tous, raide morts où à l'agonie.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrier,,,,,,,,,,,
,567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,26,1,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (30),charde (30),,,,,,,,,,,,,,,,,,,
,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se trouver à Marlock,,,,,,,,,,,,
,555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se trouver à Port-Jaune,,,,,,,,,,,,
235,113,2,,,,"observer, dialoguer",,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,437,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,563,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sig,,,,,,,,,
,197,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,414,0,,,,"observer, démasquer, écouter, libérer",,ferme,Une image montre une fallaise et un village au loin. Sans rapport avec le passage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,391,0,,,,plaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,Voyageur,,Lacuna,,,,,,,,,
,410,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,Voyageur,,Lacuna,,,,,,,,,
238,x,0,,,,combattre,,sous l'eau,,,combat fatal contre un répugnant,répugnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,126,0,,,,escalader,,montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altitude,,,,,,,,,,,,,,,
,199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,100,0,,,,"débarquer, dialoguer",,"navire, port",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,100,0,,,,abjurer,,temple,,,,,,,charde (40),charde (40),,,,,,,,,,Elnir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,439,0,,,,"combattre, ",,"navire, mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,386,2,,,,fouiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,534,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,536,2,,,,"voyager, boire",,"montagne, ruisseau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,518,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,576,2,,,,"pister, dialoguer, enquêter",,"rivière, village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
